nurseid,Max m shifts,Max a shifts,Max n shifts,Max total shifts,Min total shifts,Max cons shifts,Min cons days off,Max weekends,Min n shifts
1,4,4,4,12,8,4,3,5,3
2,4,4,4,8,8,4,3,1,3
3,4,4,4,12,8,5,2,2,3
4,3,3,2,8,5,5,2,2,1
5,3,3,2,12,5,5,2,2,1
6,3,3,2,8,5,4,3,1,1
7,4,4,4,8,8,5,2,2,3
8,4,4,4,12,8,4,3,1,3
9,4,4,4,8,8,4,3,1,3
10,3,3,2,8,5,4,3,1,1
11,4,4,4,8,8,5,2,2,3
12,3,3,2,8,5,5,2,2,1
13,4,4,4,8,8,5,2,2,3
14,4,4,4,12,8,5,2,2,3
15,4,4,4,12,8,5,2,2,3
16,3,3,2,12,5,5,2,2,1
17,4,4,4,12,8,5,2,2,3
18,3,3,2,12,5,5,2,2,1
19,4,4,4,8,8,5,2,2,3
20,4,4,4,12,8,4,3,1,3
21,3,3,2,12,5,5,2,2,1
22,4,4,4,12,8,5,2,2,3
23,4,4,4,12,8,5,2,2,3
24,4,4,4,12,8,5,2,2,3
25,4,4,4,12,8,5,2,2,3
26,4,4,4,12,8,5,2,2,3
27,3,3,2,12,5,5,2,2,1
28,4,4,4,12,8,4,3,1,3
29,3,3,2,12,5,5,2,2,1
30,3,3,2,12,5,4,3,1,1
31,4,4,4,12,8,4,3,1,3
32,3,3,2,12,5,5,2,2,1
33,4,4,4,12,8,5,2,2,3
34,4,4,4,12,8,5,2,2,3
35,4,4,4,12,8,4,3,1,3
36,4,4,4,12,8,4,3,1,3
37,4,4,4,12,8,5,2,2,3
38,4,4,4,12,8,5,2,2,3
39,3,3,2,12,5,5,2,2,1
40,4,4,4,12,8,4,3,1,3
