nurseid,Max m shifts,Max a shifts,Max n shifts,Max total shifts,Min total shifts,Max cons shifts,Min cons days off,Max weekends,Min n shifts
1,6,6,4,12,10,5,2,3,2
2,6,6,4,8,10,5,2,3,2
3,6,6,4,12,10,4,3,2,2
4,6,6,4,8,10,5,2,3,2
5,6,6,4,12,10,5,2,3,2
6,8,8,8,8,16,5,2,3,6
7,6,6,4,8,10,4,3,2,2
8,6,6,4,12,10,4,3,2,2
9,8,8,8,8,16,5,2,3,6
10,6,6,4,8,10,5,2,3,2
11,8,8,8,8,16,5,2,3,6
12,6,6,4,8,10,5,2,3,2
13,6,6,4,8,10,4,3,2,2
14,8,8,8,12,16,5,2,3,6
15,8,8,8,12,16,4,3,2,6
16,6,6,4,12,10,5,2,3,2
17,6,6,4,12,10,4,3,2,2
18,8,8,8,12,16,5,2,3,6
19,8,8,8,8,16,4,3,2,6
20,8,8,8,12,16,5,2,3,6
21,8,8,8,12,16,5,2,3,6
22,8,8,8,12,16,5,2,3,6
23,8,8,8,12,16,5,2,3,6
24,8,8,8,12,16,4,3,2,6
25,6,6,4,12,10,5,2,3,2
26,6,6,4,12,10,4,3,2,2
27,6,6,4,12,10,5,2,3,2
28,6,6,4,12,10,5,2,3,2
29,8,8,8,12,16,5,2,3,6
30,8,8,8,12,16,4,3,2,6
31,6,6,4,12,10,5,2,3,2
32,8,8,8,12,16,5,2,3,6
33,6,6,4,12,10,4,3,2,2
34,6,6,4,12,10,5,2,3,2
35,8,8,8,12,16,5,2,3,6
36,8,8,8,12,16,4,3,2,6
37,8,8,8,12,16,5,2,3,6
38,6,6,4,12,10,5,2,3,2
39,8,8,8,12,16,4,3,2,6
40,8,8,8,12,16,5,2,3,6
41,6,6,4,12,10,4,3,2,2
42,6,6,4,12,10,5,2,3,2
43,8,8,8,12,16,4,3,2,6
44,8,8,8,12,16,5,2,3,6
45,8,8,8,12,16,5,2,3,6
46,6,6,4,12,10,4,3,2,2
47,6,6,4,12,10,5,2,3,2
48,8,8,8,12,16,5,2,3,6
49,8,8,8,12,16,5,2,3,6
50,8,8,8,12,16,5,2,3,6
51,6,6,4,12,10,5,2,3,2
52,6,6,4,12,10,5,2,3,2
53,8,8,8,12,16,5,2,3,6
54,8,8,8,12,16,5,2,3,6
55,6,6,4,12,10,5,2,3,2
56,8,8,8,12,16,5,2,3,6
57,6,6,4,12,10,4,3,2,2
58,8,8,8,12,16,5,2,3,6
59,6,6,4,12,10,5,2,3,2
60,8,8,8,12,16,5,2,3,6
