nurseid,Max m shifts,Max a shifts,Max n shifts,Max total shifts,Min total shifts,Max cons shifts,Min cons days off,Max weekends,Min n shifts
1,8,8,8,12,16,5,2,3,6
2,8,8,8,8,16,4,3,2,6
3,8,8,8,12,16,5,2,3,6
4,6,6,4,8,10,5,2,3,2
5,6,6,4,12,10,5,2,3,2
6,8,8,8,8,16,5,2,3,6
7,8,8,8,8,16,4,3,2,6
8,8,8,8,12,16,4,3,2,6
9,6,6,4,8,10,5,2,3,2
10,8,8,8,8,16,4,3,2,6
11,8,8,8,8,16,4,3,2,6
12,8,8,8,8,16,5,2,3,6
13,6,6,4,8,10,4,3,2,2
14,8,8,8,12,16,4,3,2,6
15,8,8,8,12,16,5,2,3,6
16,8,8,8,12,16,4,3,2,6
17,8,8,8,12,16,4,3,2,6
18,6,6,4,12,10,5,2,3,2
19,8,8,8,8,16,5,2,3,6
20,8,8,8,12,16,5,2,3,6
21,6,6,4,12,10,5,2,3,2
22,8,8,8,12,16,4,3,2,6
23,8,8,8,12,16,4,3,2,6
24,8,8,8,12,16,5,2,3,6
25,6,6,4,12,10,5,2,3,2
26,8,8,8,12,16,4,3,2,6
27,8,8,8,12,16,5,2,3,6
28,8,8,8,12,16,5,2,3,6
29,6,6,4,12,10,5,2,3,2
30,8,8,8,12,16,4,3,2,6
31,8,8,8,12,16,4,3,2,6
32,6,6,4,12,10,4,3,2,2
33,8,8,8,12,16,4,3,2,6
34,6,6,4,12,10,4,3,2,2
35,8,8,8,12,16,4,3,2,6
36,8,8,8,12,16,5,2,3,6
37,8,8,8,12,16,4,3,2,6
38,6,6,4,12,10,5,2,3,2
39,8,8,8,12,16,5,2,3,6
40,8,8,8,12,16,4,3,2,6
41,8,8,8,12,16,4,3,2,6
42,8,8,8,12,16,5,2,3,6
43,8,8,8,12,16,5,2,3,6
44,8,8,8,12,16,5,2,3,6
45,8,8,8,12,16,5,2,3,6
46,8,8,8,12,16,5,2,3,6
47,6,6,4,12,10,4,3,2,2
48,8,8,8,12,16,5,2,3,6
49,6,6,4,12,10,5,2,3,2
50,6,6,4,12,10,4,3,2,2
51,8,8,8,12,16,5,2,3,6
52,8,8,8,12,16,5,2,3,6
53,8,8,8,12,16,4,3,2,6
54,6,6,4,12,10,5,2,3,2
55,6,6,4,12,10,5,2,3,2
56,8,8,8,12,16,5,2,3,6
57,8,8,8,12,16,4,3,2,6
58,6,6,4,12,10,5,2,3,2
59,8,8,8,12,16,5,2,3,6
60,8,8,8,12,16,4,3,2,6
61,6,6,4,12,10,4,3,2,2
62,6,6,4,12,10,4,3,2,2
63,6,6,4,12,10,5,2,3,2
64,6,6,4,12,10,5,2,3,2
65,6,6,4,12,10,5,2,3,2
66,8,8,8,12,16,5,2,3,6
67,8,8,8,12,16,5,2,3,6
68,6,6,4,12,10,4,3,2,2
69,8,8,8,12,16,5,2,3,6
70,8,8,8,12,16,4,3,2,6
71,8,8,8,12,16,5,2,3,6
72,8,8,8,12,16,5,2,3,6
73,8,8,8,12,16,5,2,3,6
74,6,6,4,12,10,5,2,3,2
