nurseid,shift index
1,39
1,51
1,49
1,83
1,58
1,48
1,46
1,7
1,65
1,11
1,57
1,16
1,61
1,44
1,2
1,22
1,73
1,79
1,13
1,72
2,48
2,33
2,80
2,15
2,56
2,21
2,76
2,25
2,10
2,2
2,23
2,14
2,22
2,49
2,43
2,58
2,30
2,60
2,68
2,8
3,77
3,2
3,72
3,74
3,11
3,13
3,58
3,49
3,18
3,47
3,31
3,84
3,21
3,76
3,34
3,63
3,52
3,53
3,40
3,32
4,59
4,58
4,77
4,33
4,54
4,9
4,3
4,63
4,73
4,29
4,37
4,14
4,61
4,10
4,65
4,42
4,55
4,12
4,83
4,68
5,55
5,37
5,42
5,22
5,49
5,10
5,11
5,15
5,34
5,63
5,67
5,59
5,78
5,41
5,12
5,39
5,58
5,53
5,36
5,80
6,30
6,34
6,28
6,38
6,12
6,2
6,71
6,51
6,83
6,6
6,58
6,80
6,81
6,21
6,17
6,25
6,26
6,69
6,47
6,68
7,22
7,57
7,12
7,74
7,78
7,58
7,36
7,51
7,43
7,61
7,69
7,25
7,26
7,46
7,66
7,60
7,27
7,55
7,75
7,10
8,55
8,29
8,82
8,84
8,25
8,5
8,39
8,62
8,10
8,24
8,9
8,32
8,21
8,19
8,36
8,4
8,72
8,73
8,66
8,15
9,69
9,34
9,79
9,1
9,55
9,45
9,62
9,23
9,7
9,47
9,37
9,66
9,41
9,48
9,49
9,72
9,12
9,18
9,68
9,44
10,36
10,38
10,50
10,70
10,4
10,15
10,27
10,84
10,28
10,53
10,1
10,56
10,43
10,32
10,73
10,25
10,83
10,77
10,8
10,65
11,74
11,42
11,3
11,55
11,58
11,76
11,72
11,7
11,77
11,26
11,63
11,49
11,30
11,69
11,2
11,38
11,47
11,6
11,53
11,56
12,42
12,1
12,48
12,65
12,55
12,80
12,46
12,73
12,64
12,27
12,61
12,84
12,23
12,44
12,60
12,75
12,11
12,77
12,49
12,38
13,50
13,71
13,1
13,48
13,15
13,83
13,6
13,29
13,37
13,4
13,55
13,66
13,17
13,72
13,10
13,45
13,26
13,79
13,68
13,51
14,38
14,27
14,48
14,9
14,12
14,15
14,62
14,44
14,7
14,49
14,31
14,1
14,53
14,30
14,80
14,63
14,21
14,14
14,23
14,61
15,30
15,28
15,37
15,47
15,16
15,67
15,2
15,44
15,32
15,70
15,83
15,18
15,42
15,4
15,23
15,38
15,76
15,50
15,78
15,12
16,82
16,27
16,22
16,49
16,4
16,69
16,65
16,44
16,24
16,16
16,11
16,79
16,5
16,58
16,7
16,51
16,78
16,81
16,15
16,18
17,77
17,79
17,46
17,19
17,31
17,17
17,20
17,27
17,78
17,72
17,11
17,37
17,26
17,9
17,63
17,84
17,48
17,16
17,24
17,36
18,18
18,67
18,32
18,69
18,82
18,54
18,59
18,83
18,13
18,84
18,66
18,34
18,8
18,56
18,27
18,55
18,24
18,57
18,63
18,2
19,4
19,60
19,5
19,23
19,19
19,25
19,17
19,24
19,15
19,67
19,55
19,20
19,34
19,42
19,81
19,31
19,75
19,49
19,45
19,84
20,61
20,29
20,16
20,36
20,7
20,37
20,56
20,79
20,8
20,57
20,66
20,44
20,52
20,5
20,50
20,64
20,3
20,33
20,47
20,54
21,16
21,64
21,68
21,9
21,71
21,10
21,37
21,22
21,80
21,15
21,82
21,29
21,61
21,28
21,65
21,23
21,41
21,1
21,48
21,84
22,70
22,28
22,25
22,50
22,18
22,84
22,23
22,26
22,54
22,7
22,69
22,83
22,17
22,24
22,11
22,55
22,67
22,12
22,6
22,34
23,36
23,40
23,44
23,67
23,1
23,64
23,28
23,68
23,61
23,60
23,65
23,38
23,72
23,21
23,12
23,20
23,6
23,49
23,53
23,80
24,31
24,27
24,83
24,64
24,56
24,67
24,20
24,79
24,52
24,36
24,41
24,75
24,61
24,38
24,53
24,58
24,26
24,15
24,74
24,40
25,18
25,20
25,78
25,36
25,34
25,74
25,76
25,2
25,47
25,16
25,80
25,38
25,35
25,33
25,69
25,48
25,39
25,59
25,26
25,27
26,62
26,35
26,69
26,80
26,16
26,73
26,56
26,81
26,43
26,33
26,4
26,11
26,29
26,64
26,27
26,14
26,71
26,7
26,78
26,32
27,14
27,48
27,79
27,72
27,62
27,83
27,26
27,46
27,20
27,10
27,34
27,54
27,4
27,13
27,22
27,56
27,32
27,1
27,77
27,73
28,4
28,65
28,36
28,78
28,13
28,76
28,30
28,32
28,58
28,82
28,79
