nurseid,Max m shifts,Max a shifts,Max n shifts,Max total shifts,Min total shifts,Max cons shifts,Min cons days off,Max weekends,Min n shifts
1,8,8,8,12,16,5,2,3,6
2,6,6,4,8,10,4,3,2,2
3,8,8,8,12,16,5,2,3,6
4,6,6,4,8,10,4,3,2,2
5,6,6,4,12,10,5,2,3,2
6,6,6,4,8,10,4,3,2,2
7,8,8,8,8,16,4,3,2,6
8,6,6,4,12,10,5,2,3,2
9,8,8,8,8,16,4,3,2,6
10,8,8,8,8,16,5,2,3,6
11,8,8,8,8,16,4,3,2,6
12,6,6,4,8,10,5,2,3,2
13,8,8,8,8,16,4,3,2,6
14,6,6,4,12,10,4,3,2,2
15,6,6,4,12,10,5,2,3,2
16,6,6,4,12,10,4,3,2,2
17,6,6,4,12,10,5,2,3,2
18,8,8,8,12,16,5,2,3,6
19,8,8,8,8,16,4,3,2,6
20,8,8,8,12,16,5,2,3,6
21,8,8,8,12,16,5,2,3,6
22,8,8,8,12,16,4,3,2,6
23,6,6,4,12,10,5,2,3,2
24,8,8,8,12,16,5,2,3,6
25,8,8,8,12,16,5,2,3,6
26,8,8,8,12,16,5,2,3,6
27,6,6,4,12,10,5,2,3,2
28,8,8,8,12,16,5,2,3,6
29,8,8,8,12,16,5,2,3,6
30,8,8,8,12,16,4,3,2,6
31,8,8,8,12,16,5,2,3,6
32,8,8,8,12,16,5,2,3,6
33,8,8,8,12,16,5,2,3,6
34,8,8,8,12,16,5,2,3,6
35,8,8,8,12,16,5,2,3,6
36,8,8,8,12,16,4,3,2,6
37,6,6,4,12,10,5,2,3,2
38,6,6,4,12,10,5,2,3,2
39,6,6,4,12,10,5,2,3,2
40,8,8,8,12,16,4,3,2,6
41,8,8,8,12,16,5,2,3,6
42,8,8,8,12,16,5,2,3,6
43,6,6,4,12,10,5,2,3,2
44,8,8,8,12,16,5,2,3,6
45,6,6,4,12,10,4,3,2,2
46,8,8,8,12,16,5,2,3,6
47,8,8,8,12,16,5,2,3,6
48,8,8,8,12,16,5,2,3,6
49,8,8,8,12,16,5,2,3,6
50,8,8,8,12,16,5,2,3,6
51,8,8,8,12,16,5,2,3,6
52,8,8,8,12,16,4,3,2,6
53,8,8,8,12,16,5,2,3,6
54,8,8,8,12,16,4,3,2,6
55,6,6,4,12,10,5,2,3,2
56,8,8,8,12,16,4,3,2,6
57,8,8,8,12,16,4,3,2,6
58,8,8,8,12,16,5,2,3,6
59,6,6,4,12,10,4,3,2,2
60,8,8,8,12,16,5,2,3,6
61,8,8,8,12,16,5,2,3,6
62,8,8,8,12,16,4,3,2,6
63,6,6,4,12,10,4,3,2,2
64,6,6,4,12,10,4,3,2,2
65,6,6,4,12,10,5,2,3,2
66,6,6,4,12,10,4,3,2,2
67,6,6,4,12,10,5,2,3,2
68,8,8,8,12,16,5,2,3,6
69,8,8,8,12,16,4,3,2,6
70,6,6,4,12,10,4,3,2,2
71,8,8,8,12,16,5,2,3,6
72,8,8,8,12,16,5,2,3,6
73,8,8,8,12,16,4,3,2,6
74,8,8,8,12,16,4,3,2,6
75,6,6,4,12,10,5,2,3,2
76,6,6,4,12,10,5,2,3,2
77,6,6,4,12,10,5,2,3,2
78,8,8,8,12,16,5,2,3,6
79,8,8,8,12,16,5,2,3,6
80,6,6,4,12,10,4,3,2,2
81,8,8,8,12,16,4,3,2,6
82,8,8,8,12,16,4,3,2,6
83,8,8,8,12,16,4,3,2,6
84,6,6,4,12,10,5,2,3,2
85,8,8,8,12,16,5,2,3,6
86,6,6,4,12,10,5,2,3,2
87,8,8,8,12,16,4,3,2,6
88,8,8,8,12,16,5,2,3,6
89,8,8,8,12,16,5,2,3,6
90,6,6,4,12,10,4,3,2,2
91,8,8,8,12,16,5,2,3,6
92,6,6,4,12,10,5,2,3,2
93,8,8,8,12,16,4,3,2,6
94,8,8,8,12,16,5,2,3,6
95,8,8,8,12,16,4,3,2,6
96,6,6,4,12,10,4,3,2,2
97,8,8,8,12,16,5,2,3,6
98,8,8,8,12,16,4,3,2,6
99,8,8,8,12,16,5,2,3,6
100,8,8,8,12,16,4,3,2,6
101,6,6,4,12,10,5,2,3,2
102,8,8,8,12,16,5,2,3,6
103,8,8,8,12,16,4,3,2,6
104,6,6,4,12,10,4,3,2,2
105,8,8,8,12,16,4,3,2,6
106,8,8,8,12,16,4,3,2,6
107,6,6,4,12,10,4,3,2,2
108,8,8,8,12,16,5,2,3,6
109,8,8,8,12,16,4,3,2,6
110,6,6,4,12,10,5,2,3,2
111,6,6,4,12,10,5,2,3,2
112,8,8,8,12,16,5,2,3,6
113,8,8,8,12,16,5,2,3,6
114,8,8,8,12,16,5,2,3,6
115,8,8,8,12,16,4,3,2,6
116,8,8,8,12,16,4,3,2,6
117,8,8,8,12,16,5,2,3,6
118,6,6,4,12,10,5,2,3,2
119,8,8,8,12,16,4,3,2,6
120,8,8,8,12,16,5,2,3,6
