nurseid,shift index
1,39
1,27
1,21
1,46
1,59
1,33
1,71
1,37
1,53
1,28
1,75
1,44
1,60
1,40
1,73
1,29
1,70
1,16
1,83
1,57
2,15
2,10
2,72
2,46
2,5
2,66
2,80
2,28
2,71
2,52
2,20
2,18
2,58
2,35
2,83
2,78
2,21
2,24
2,17
2,62
3,25
3,1
3,15
3,11
3,49
3,56
3,27
3,59
3,21
3,83
3,9
3,3
3,73
3,42
3,51
3,71
3,35
3,77
3,13
3,47
4,67
4,63
4,46
4,65
4,74
4,81
4,17
4,44
4,60
4,5
4,78
4,39
4,40
4,49
4,24
4,76
4,1
4,10
4,19
4,11
5,5
5,68
5,26
5,66
5,81
5,77
5,75
5,7
5,14
5,27
5,30
5,36
5,69
5,11
5,1
5,54
5,10
5,35
5,56
5,12
6,84
6,72
6,19
6,2
6,71
6,25
6,39
6,5
6,15
6,48
6,8
6,42
6,77
6,46
6,18
6,40
6,54
6,75
6,11
6,6
7,33
7,71
7,60
7,78
7,26
7,62
7,25
7,64
7,4
7,73
7,70
7,56
7,72
7,8
7,37
7,81
7,7
7,57
7,21
7,83
8,45
8,8
8,70
8,56
8,67
8,19
8,12
8,46
8,72
8,73
8,48
8,65
8,55
8,4
8,63
8,59
8,32
8,25
8,39
8,64
9,34
9,9
9,45
9,22
9,67
9,27
9,40
9,6
9,56
9,23
9,54
9,11
9,78
9,73
9,15
9,47
9,14
9,25
9,39
9,8
10,45
10,32
10,11
10,28
10,83
10,34
10,20
10,9
10,78
10,39
10,21
10,4
10,63
10,18
10,60
10,43
10,38
10,52
10,71
10,65
11,5
11,47
11,77
11,44
11,20
11,76
11,11
11,33
11,19
11,69
11,61
11,3
11,23
11,15
11,78
11,14
11,43
11,27
11,21
11,55
12,38
12,69
12,54
12,55
12,12
12,79
12,41
12,50
12,14
12,42
12,1
12,74
12,2
12,20
12,5
12,76
12,48
12,11
12,56
12,59
13,68
13,72
13,54
13,3
13,47
13,40
13,35
13,70
13,39
13,78
13,76
13,80
13,65
13,43
13,2
13,60
13,49
13,9
13,21
13,38
14,18
14,65
14,38
14,78
14,71
14,48
14,11
14,21
14,44
14,7
14,20
14,3
14,60
14,25
14,17
14,14
14,36
14,62
14,56
14,70
15,14
15,22
15,74
15,9
15,33
15,28
15,60
15,44
15,47
15,52
15,41
15,23
15,32
15,48
15,29
15,3
15,66
15,81
15,58
15,24
16,37
16,65
16,59
16,32
16,54
16,38
16,42
16,52
16,47
16,34
16,55
16,43
16,29
16,74
16,73
16,39
16,61
16,41
16,76
16,28
17,57
17,2
17,59
17,55
17,53
17,35
17,82
17,68
17,61
17,49
17,36
17,69
17,28
17,77
17,4
17,52
17,48
17,54
17,19
17,71
18,30
18,64
18,18
18,71
18,17
18,41
18,15
18,42
18,39
18,69
18,57
18,76
18,43
18,82
18,52
18,58
18,74
18,27
18,62
18,2
19,76
19,17
19,55
19,7
19,81
19,20
19,36
19,73
19,39
19,11
19,25
19,38
19,43
19,16
19,30
19,33
19,21
19,3
19,58
19,24
20,71
20,70
20,41
20,38
20,52
20,46
20,82
20,68
20,15
20,20
20,10
20,36
20,5
20,39
20,13
20,59
20,66
20,50
20,57
20,43
21,69
21,52
21,74
21,20
21,58
21,14
21,44
21,65
21,83
21,56
21,76
21,71
21,42
21,47
21,43
21,41
21,61
21,79
21,30
21,54
22,54
22,22
22,1
22,46
22,52
22,50
22,56
22,35
22,39
22,82
22,41
22,62
22,14
22,24
22,7
22,32
22,68
22,31
22,19
22,4
23,4
23,41
23,55
23,7
23,69
23,48
23,13
23,11
23,72
23,15
23,62
23,18
23,77
23,34
23,76
23,71
23,12
23,66
23,14
23,63
24,30
24,75
24,23
24,67
24,33
24,3
24,4
24,71
24,46
24,49
24,80
24,81
24,79
24,6
24,42
24,22
24,70
24,31
24,66
24,5
25,31
25,25
25,71
25,7
25,18
25,12
25,74
25,28
25,39
25,13
25,44
25,76
25,49
25,56
25,30
25,3
25,81
25,67
25,79
25,42
26,30
26,78
26,54
26,51
26,80
26,84
26,28
26,16
26,18
26,21
26,7
26,79
26,13
26,69
26,34
26,20
26,81
26,32
26,39
26,71
27,71
27,33
27,70
27,29
27,24
27,65
27,23
27,84
27,81
27,42
27,35
27,16
27,8
27,56
27,40
27,55
27,34
27,49
27,15
27,77
28,73
28,59
28,39
28,72
28,43
28,8
28,33
28,15
28,5
28,61
28,30
28,66
28,16
28,41
28,44
28,28
28,48
28,27
28,36
28,13
29,65
29,39
29,78
29,30
29,53
29,45
29,8
29,84
29,11
29,35
29,13
29,15
29,20
29,3
29,82
29,70
29,69
29,17
29,9
29,80
30,44
30,67
30,80
30,50
30,16
30,11
30,68
30,48
30,63
30,8
30,39
30,66
30,41
30,61
30,4
30,15
30,59
30,54
30,10
30,46
31,13
31,73
31,2
31,63
31,78
31,71
31,30
31,21
31,49
31,69
31,72
31,80
31,46
31,8
31,19
31,27
31,38
31,45
31,26
31,62
32,10
32,6
32,45
32,76
32,56
32,82
32,83
32,7
32,33
32,38
32,31
32,51
32,54
32,53
32,26
32,36
32,65
32,29
32,81
32,46
33,37
33,46
33,71
33,14
33,63
33,49
33,8
33,11
33,75
33,34
33,35
33,32
33,74
33,25
33,69
33,79
33,59
33,33
33,58
33,41
34,84
34,39
34,52
34,49
34,9
34,27
34,8
34,79
34,81
34,35
34,83
34,40
34,16
34,47
34,82
34,66
34,56
34,69
34,29
34,36
35,9
35,43
35,38
35,28
35,4
35,65
35,59
35,51
35,31
35,58
35,60
35,19
35,10
35,8
35,15
35,33
35,25
35,24
35,63
35,46
36,54
36,44
36,46
36,7
36,81
36,80
36,83
36,4
36,37
36,32
36,76
36,75
36,2
36,65
36,41
36,27
36,16
36,49
36,19
36,58
37,18
37,35
37,40
37,44
37,14
37,1
37,66
37,2
37,49
37,6
37,4
37,37
37,39
37,9
37,26
37,23
37,41
37,76
37,81
37,34
38,59
38,34
38,45
38,74
38,37
38,82
38,8
38,40
38,78
38,29
38,35
38,39
38,54
38,56
38,3
38,51
38,57
38,20
38,38
38,64
39,4
39,69
39,80
39,84
39,59
39,54
39,13
39,28
39,55
39,23
39,6
39,1
39,66
39,37
39,72
39,25
39,51
39,68
39,45
39,30
40,50
40,30
40,67
40,11
40,71
40,8
40,31
40,6
40,49
40,53
40,40
40,63
40,4
40,36
40,45
40,9
40,58
40,29
40,75
40,64
41,7
41,74
41,42
41,71
41,75
41,51
41,27
41,65
41,16
41,59
41,38
41,77
41,36
41,3
41,84
41,1
41,45
41,21
41,40
41,34
42,10
42,76
42,77
42,12
42,53
42,83
42,48
42,61
42,4
42,24
42,72
42,54
42,2
42,55
42,21
42,18
42,49
42,39
42,20
42,33
43,47
43,80
43,33
43,20
43,26
43,19
43,34
43,67
43,4
43,82
43,74
43,1
43,32
43,45
43,59
43,25
43,51
43,55
43,76
43,66
44,66
44,23
44,16
44,50
44,12
44,73
44,31
44,13
44,43
44,21
44,28
44,70
44,1
44,20
44,29
44,34
44,82
44,33
44,8
44,75
45,36
45,53
45,29
45,42
45,14
45,80
45,54
45,78
45,33
45,10
45,83
45,58
45,66
45,76
45,2
45,30
45,72
45,8
45,20
45,75
46,31
46,26
46,61
46,18
46,40
46,19
46,28
46,56
46,84
46,27
46,54
46,46
46,66
46,83
46,8
46,34
46,30
46,81
46,52
46,63
47,69
47,29
47,32
47,23
47,84
47,31
47,81
47,37
47,26
47,7
47,27
47,82
47,65
47,9
47,71
47,8
47,47
47,62
47,61
47,36
48,71
48,63
48,6
48,45
48,47
48,29
48,58
48,53
48,38
48,84
48,37
48,42
48,66
48,40
48,43
48,54
48,82
48,65
48,15
48,7
49,56
49,79
49,64
49,36
49,4
49,18
49,17
49,21
49,51
49,2
49,40
49,83
49,22
49,13
49,76
49,12
49,39
49,58
49,66
49,69
50,81
50,31
50,74
50,76
50,49
50,27
50,14
50,66
50,39
50,9
50,57
50,46
50,7
50,23
50,72
50,12
50,63
50,13
50,20
50,67
51,57
51,29
51,5
51,11
51,73
51,27
51,66
51,56
51,63
51,72
51,58
51,4
51,84
51,52
51,31
51,14
51,74
51,65
51,60
51,35
52,49
52,57
52,41
52,7
52,64
52,80
52,56
52,19
52,20
52,77
52,50
52,33
52,36
52,44
52,29
52,30
52,65
52,75
52,8
52,9
53,72
53,82
53,46
53,35
