nurseid,Max m shifts,Max a shifts,Max n shifts,Max total shifts,Min total shifts,Max cons shifts,Min cons days off,Max weekends,Min n shifts
1,8,8,8,12,16,5,2,3,6
2,8,8,8,8,16,5,2,3,6
3,8,8,8,12,16,4,3,2,6
4,6,6,4,8,10,4,3,2,2
5,8,8,8,12,16,5,2,3,6
6,6,6,4,8,10,4,3,2,2
7,8,8,8,8,16,5,2,3,6
8,8,8,8,12,16,4,3,2,6
9,6,6,4,8,10,5,2,3,2
10,8,8,8,8,16,5,2,3,6
11,6,6,4,8,10,5,2,3,2
12,6,6,4,8,10,5,2,3,2
13,6,6,4,8,10,5,2,3,2
14,6,6,4,12,10,5,2,3,2
15,6,6,4,12,10,4,3,2,2
16,8,8,8,12,16,4,3,2,6
17,8,8,8,12,16,5,2,3,6
18,8,8,8,12,16,5,2,3,6
19,8,8,8,8,16,5,2,3,6
20,8,8,8,12,16,5,2,3,6
