nurseid,shift index
1,15
1,12
1,32
1,28
1,39
1,17
1,22
1,35
1,6
1,3
2,39
2,41
2,23
2,31
2,19
2,4
2,12
2,15
2,13
2,42
3,4
3,3
3,29
3,26
3,27
3,39
3,24
3,35
3,12
3,30
4,30
4,21
4,2
4,15
4,13
4,29
4,39
4,27
4,20
4,1
5,15
5,42
5,3
5,17
5,6
5,23
5,4
5,19
5,30
5,35
6,21
6,25
6,42
6,23
6,38
6,36
6,4
6,18
6,34
6,15
7,7
7,2
7,34
7,39
7,14
7,32
7,20
7,25
7,17
7,31
8,39
8,20
8,33
8,5
8,21
8,2
8,19
8,16
8,32
8,10
9,39
9,30
9,14
9,12
9,40
9,8
9,1
9,26
9,36
9,20
10,5
10,35
10,13
10,17
10,6
10,9
10,25
10,38
10,23
10,22
11,5
11,35
11,4
11,20
11,37
11,32
11,11
11,18
11,21
11,3
12,35
12,40
12,11
12,8
12,14
12,33
12,17
12,36
12,28
12,7
13,6
13,24
13,34
13,23
13,26
13,30
13,32
13,35
13,1
13,31
14,26
14,7
14,36
14,6
14,29
14,1
14,18
14,8
14,19
14,41
15,6
15,28
15,39
15,42
15,40
15,17
15,14
15,27
15,3
15,9
16,29
16,17
16,21
16,38
16,5
16,6
16,14
16,39
16,8
16,36
17,1
17,14
17,40
17,18
17,2
17,4
17,29
17,7
17,32
17,38
18,23
18,24
18,26
18,20
18,31
18,42
18,35
18,41
18,19
18,16
19,34
19,1
19,30
19,23
19,10
19,22
19,2
19,15
19,4
19,21
20,13
20,5
20,28
20,31
20,22
20,18
20,29
20,10
20,12
20,14
