nurseid,Max m shifts,Max a shifts,Max n shifts,Max total shifts,Min total shifts,Max cons shifts,Min cons days off,Max weekends,Min n shifts
1,3,3,2,12,5,5,2,2,1
2,4,4,4,8,8,5,2,2,3
3,4,4,4,12,8,5,2,2,3
4,3,3,2,8,5,5,2,2,1
5,3,3,2,12,5,4,3,1,1
6,4,4,4,8,8,5,2,2,3
7,3,3,2,8,5,5,2,2,1
8,3,3,2,12,5,5,2,2,1
9,4,4,4,8,8,5,2,2,3
10,4,4,4,8,8,5,2,2,3
11,4,4,4,8,8,5,2,2,3
12,3,3,2,8,5,5,2,2,1
13,3,3,2,8,5,5,2,2,1
14,3,3,2,12,5,5,2,2,1
15,4,4,4,12,8,5,2,2,3
16,4,4,4,12,8,5,2,2,3
17,4,4,4,12,8,4,3,1,3
18,4,4,4,12,8,5,2,2,3
19,4,4,4,8,8,5,2,2,3
20,4,4,4,12,8,4,3,1,3
21,4,4,4,12,8,5,2,2,3
22,3,3,2,12,5,4,3,1,1
23,4,4,4,12,8,5,2,2,3
24,4,4,4,12,8,4,3,1,3
25,4,4,4,12,8,5,2,2,3
26,3,3,2,12,5,5,2,2,1
27,3,3,2,12,5,4,3,1,1
28,4,4,4,12,8,4,3,1,3
29,4,4,4,12,8,4,3,1,3
30,4,4,4,12,8,5,2,2,3
31,3,3,2,12,5,5,2,2,1
32,4,4,4,12,8,4,3,1,3
33,3,3,2,12,5,5,2,2,1
34,4,4,4,12,8,4,3,1,3
35,3,3,2,12,5,4,3,1,1
36,4,4,4,12,8,5,2,2,3
37,4,4,4,12,8,5,2,2,3
38,4,4,4,12,8,4,3,1,3
39,4,4,4,12,8,5,2,2,3
40,3,3,2,12,5,5,2,2,1
41,4,4,4,12,8,5,2,2,3
42,4,4,4,12,8,5,2,2,3
43,3,3,2,12,5,5,2,2,1
44,4,4,4,12,8,5,2,2,3
45,4,4,4,12,8,5,2,2,3
46,4,4,4,12,8,5,2,2,3
47,4,4,4,12,8,4,3,1,3
48,4,4,4,12,8,5,2,2,3
49,3,3,2,12,5,4,3,1,1
50,4,4,4,12,8,4,3,1,3
51,4,4,4,12,8,4,3,1,3
52,4,4,4,12,8,5,2,2,3
53,4,4,4,12,8,4,3,1,3
54,4,4,4,12,8,4,3,1,3
55,4,4,4,12,8,5,2,2,3
56,4,4,4,12,8,5,2,2,3
57,3,3,2,12,5,5,2,2,1
58,4,4,4,12,8,4,3,1,3
59,4,4,4,12,8,5,2,2,3
60,3,3,2,12,5,5,2,2,1
61,3,3,2,12,5,4,3,1,1
62,3,3,2,12,5,5,2,2,1
63,4,4,4,12,8,5,2,2,3
64,4,4,4,12,8,4,3,1,3
65,4,4,4,12,8,5,2,2,3
66,4,4,4,12,8,5,2,2,3
67,3,3,2,12,5,5,2,2,1
68,3,3,2,12,5,5,2,2,1
69,3,3,2,12,5,5,2,2,1
70,4,4,4,12,8,5,2,2,3
71,4,4,4,12,8,5,2,2,3
72,4,4,4,12,8,4,3,1,3
73,4,4,4,12,8,4,3,1,3
74,4,4,4,12,8,5,2,2,3
75,4,4,4,12,8,4,3,1,3
76,4,4,4,12,8,5,2,2,3
77,4,4,4,12,8,5,2,2,3
78,4,4,4,12,8,5,2,2,3
79,4,4,4,12,8,4,3,1,3
80,4,4,4,12,8,5,2,2,3
