nurseid,Max m shifts,Max a shifts,Max n shifts,Max total shifts,Min total shifts,Max cons shifts,Min cons days off,Max weekends,Min n shifts
1,4,4,4,12,8,4,3,1,3
2,3,3,2,8,5,5,2,2,1
3,4,4,4,12,8,5,2,2,3
4,4,4,4,8,8,5,2,2,3
5,3,3,2,12,5,4,3,1,1
6,3,3,2,8,5,5,2,2,1
7,4,4,4,8,8,5,2,2,3
8,4,4,4,12,8,5,2,2,3
9,4,4,4,8,8,4,3,1,3
10,4,4,4,8,8,5,2,2,3
11,4,4,4,8,8,5,2,2,3
12,4,4,4,8,8,5,2,2,3
13,4,4,4,8,8,4,3,1,3
14,3,3,2,12,5,4,3,1,1
15,3,3,2,12,5,4,3,1,1
16,4,4,4,12,8,5,2,2,3
17,3,3,2,12,5,4,3,1,1
18,3,3,2,12,5,5,2,2,1
19,4,4,4,8,8,5,2,2,3
20,3,3,2,12,5,4,3,1,1
