# Day, ShiftID, Requirement,,
1,E,12,5,4
1,D,12,5,4
1,L,6,3,2
2,E,15,4,5
2,D,12,4,4
2,L,9,3,3
3,E,12,4,4
3,D,12,5,4
3,L,9,2,3
4,E,12,4,4
4,D,15,5,5
4,L,6,4,2
5,E,15,5,5
5,D,12,5,4
5,L,6,4,2
6,E,9,4,3
6,D,12,5,4
6,L,9,2,3
7,E,9,4,3
7,D,15,4,5
7,L,9,4,3
8,E,15,5,5
8,D,12,5,4
8,L,9,2,3
9,E,15,5,5
9,D,9,4,3
9,L,9,4,3
10,E,12,4,4
10,D,9,4,3
10,L,6,3,2
11,E,12,4,4
11,D,12,4,4
11,L,9,3,3
12,E,12,4,4
12,D,9,5,3
12,L,9,3,3
13,E,9,5,3
13,D,9,5,3
13,L,9,4,3
14,E,12,5,4
14,D,9,4,3
14,L,6,4,2
15,E,9,4,3
15,D,12,5,4
15,L,6,2,2
16,E,15,4,5
16,D,9,5,3
16,L,9,3,3
17,E,12,5,4
17,D,9,5,3
17,L,9,2,3
18,E,15,4,5
18,D,9,4,3
18,L,6,4,2
19,E,12,4,4
19,D,15,5,5
19,L,9,2,3
20,E,12,4,4
20,D,9,5,3
20,L,9,2,3
21,E,15,4,5
21,D,15,5,5
21,L,6,2,2
22,E,9,5,3
22,D,9,5,3
22,L,9,2,3
23,E,12,4,4
23,D,15,5,5
23,L,9,3,3
24,E,12,4,4
24,D,12,5,4
24,L,6,4,2
25,E,15,5,5
25,D,9,4,3
25,L,6,3,2
26,E,15,5,5
26,D,12,5,4
26,L,9,2,3
27,E,15,5,5
27,D,15,5,5
27,L,6,2,2
28,E,15,5,5
28,D,12,4,4
28,L,9,4,3
