nurseid,shift index
1,83
1,10
1,53
1,12
1,63
1,80
1,78
1,54
1,25
1,44
1,47
1,64
1,5
1,65
1,39
1,58
1,30
1,13
1,77
1,38
1,69
1,45
1,4
1,29
1,56
1,55
1,59
1,6
1,11
1,17
2,67
2,24
2,6
2,50
2,65
2,25
2,16
2,49
2,73
2,54
2,1
2,77
2,17
2,84
2,69
2,74
2,66
2,28
2,12
2,61
2,39
2,29
2,80
2,5
2,2
2,55
2,13
2,45
2,71
2,75
3,54
3,7
3,84
3,56
3,46
3,32
3,72
3,62
3,48
3,63
3,15
3,12
3,64
3,38
3,29
3,40
3,14
3,42
3,20
3,23
3,49
3,69
3,24
3,75
3,73
3,61
3,51
3,4
3,11
3,17
4,18
4,67
4,65
4,71
4,57
4,11
4,22
4,73
4,63
4,7
4,31
4,72
4,54
4,20
4,29
4,70
4,66
4,21
4,56
4,43
4,59
4,10
4,1
4,16
4,51
4,36
4,60
4,76
4,4
4,25
5,77
5,36
5,63
5,12
5,48
5,47
5,19
5,58
5,20
5,62
5,7
5,70
5,73
5,35
5,32
5,50
5,9
5,53
5,56
5,68
5,2
5,27
5,66
5,30
5,57
5,28
5,52
5,74
5,1
5,54
6,30
6,43
6,57
6,67
6,71
6,37
6,61
6,17
6,79
6,15
6,40
6,56
6,22
6,33
6,5
6,18
6,72
6,42
6,52
6,45
6,66
6,76
6,27
6,63
6,8
6,10
6,84
6,58
6,16
6,36
7,73
7,4
7,56
7,31
7,11
7,75
7,66
7,30
7,51
7,38
7,2
7,72
7,63
7,5
7,60
7,14
7,1
7,12
7,37
7,18
7,59
7,29
7,13
7,43
7,61
7,22
7,64
7,9
7,80
7,57
8,81
8,29
8,23
8,8
8,40
8,50
8,37
8,65
8,39
8,45
8,1
8,67
8,20
8,36
8,61
8,28
8,63
8,70
8,26
8,24
8,11
8,16
8,52
8,4
8,38
8,14
8,68
8,42
8,7
8,47
9,31
9,66
9,4
9,16
9,50
9,9
9,39
9,48
9,49
9,75
9,41
9,81
9,71
9,32
9,52
9,2
9,19
9,68
9,73
9,54
9,77
9,60
9,53
9,55
9,62
9,34
9,29
9,58
9,59
9,18
10,45
10,65
10,24
10,51
10,58
10,2
10,36
10,5
10,15
10,62
10,55
10,71
10,4
10,63
10,76
10,73
10,56
10,28
10,12
10,49
10,42
10,48
10,35
10,57
10,23
10,26
10,79
10,61
10,83
10,16
11,36
11,42
11,51
11,34
11,30
11,44
11,63
11,71
11,77
11,79
11,26
11,29
11,24
11,32
11,17
11,4
11,28
11,22
11,46
11,15
11,43
11,56
11,60
11,10
11,84
11,50
11,12
11,41
11,3
11,13
12,3
12,9
12,41
12,67
12,79
12,80
12,49
12,21
12,46
12,12
12,18
12,27
12,68
12,42
12,84
12,70
12,17
12,5
12,81
12,35
12,36
12,58
12,72
12,65
12,25
12,82
12,56
12,45
12,53
12,20
13,3
13,9
13,1
13,39
13,24
13,33
13,53
13,49
13,43
13,27
13,17
13,64
13,59
13,12
13,56
13,80
13,8
13,44
13,66
13,36
13,10
13,84
13,2
13,71
13,30
13,6
13,22
13,58
13,63
13,73
14,12
14,11
14,30
14,52
14,50
14,71
14,54
14,76
14,6
14,28
14,46
14,77
14,49
14,40
14,20
14,33
14,56
14,47
14,16
14,36
14,27
14,9
14,59
14,70
14,13
14,4
14,35
14,2
14,10
14,23
15,40
15,20
15,35
15,8
15,5
15,58
15,71
15,79
15,57
15,53
15,26
15,73
15,82
15,38
15,24
15,65
15,83
15,50
15,66
15,32
15,70
15,60
15,30
15,1
15,44
15,52
15,12
15,72
15,18
15,4
16,21
16,54
16,57
16,22
16,25
16,9
16,38
16,36
16,78
16,33
16,56
16,53
16,84
16,44
16,5
16,6
16,66
16,34
16,17
16,76
16,23
16,1
16,74
16,64
16,30
16,52
16,70
16,13
16,10
16,72
17,22
17,77
17,27
17,49
17,56
17,18
17,28
17,35
17,48
17,75
17,57
17,82
17,66
17,23
17,67
17,53
17,51
17,12
17,72
17,29
17,5
17,46
17,31
17,2
17,4
17,41
17,84
17,78
17,42
17,39
18,1
18,53
18,35
18,55
18,19
18,8
18,61
18,37
18,7
18,80
18,33
18,2
18,70
18,28
18,77
18,27
18,50
18,22
18,75
18,65
18,69
18,58
18,32
18,23
18,11
18,57
18,20
18,41
18,39
18,56
19,79
19,30
19,8
19,83
19,29
19,20
19,84
19,82
19,52
19,65
19,68
19,37
19,10
19,15
19,62
19,35
19,6
19,50
19,46
19,1
19,47
19,31
19,74
19,18
19,33
19,25
19,75
19,27
19,13
19,48
20,81
20,70
20,51
20,27
20,12
20,13
20,75
20,58
20,83
20,46
20,49
20,15
20,5
20,71
20,34
20,40
20,23
20,61
20,39
20,38
20,26
20,79
20,69
20,72
20,9
20,57
20,80
20,35
20,63
20,78
21,79
21,16
21,3
21,50
21,49
21,26
21,13
21,42
21,36
21,39
21,59
21,47
21,61
21,6
21,69
21,5
21,28
21,68
21,67
21,82
21,25
21,71
21,19
21,46
21,32
21,77
21,52
21,33
21,56
21,9
22,1
22,62
22,28
22,51
22,26
22,73
22,78
22,74
22,82
22,76
22,9
22,27
22,84
22,35
22,17
22,21
22,83
22,34
22,48
22,58
22,50
22,56
22,38
22,41
22,52
22,3
22,30
22,33
22,45
22,55
23,50
23,13
23,32
23,37
23,57
23,56
23,74
23,20
23,64
23,29
23,58
23,30
23,67
23,72
23,16
23,2
23,59
23,75
23,62
23,79
23,41
23,1
23,83
23,18
23,9
23,33
23,4
23,80
23,44
23,48
24,5
24,77
24,54
24,10
24,74
24,13
24,84
24,56
24,28
24,78
24,41
24,26
24,51
24,18
24,80
24,37
24,30
24,76
24,50
24,43
24,23
24,73
24,72
24,31
24,81
24,45
24,9
24,33
24,34
24,15
25,52
25,51
25,21
25,55
25,12
25,72
25,70
25,73
25,79
25,66
25,30
25,76
25,14
25,68
25,50
25,5
25,45
25,83
25,7
25,39
25,8
25,58
25,4
25,20
25,11
25,78
25,33
25,1
25,69
25,44
26,82
26,10
26,29
26,3
26,4
26,76
26,5
26,28
26,32
26,23
26,51
26,24
26,49
26,79
26,9
26,45
26,16
26,31
26,54
26,1
26,55
26,36
26,15
26,70
26,52
26,67
26,63
26,50
26,27
26,65
27,70
27,76
27,47
27,58
27,48
27,19
27,54
27,72
27,60
27,71
27,80
27,79
27,9
27,35
27,66
27,83
27,56
27,33
27,43
27,64
27,49
27,25
27,34
27,4
27,28
27,55
27,53
27,23
27,50
27,63
28,18
28,34
28,68
28,75
28,31
28,82
28,62
28,30
28,46
28,64
28,37
28,56
28,63
28,8
28,4
28,84
28,77
28,54
28,9
28,19
28,25
28,72
28,29
28,1
28,61
28,66
28,47
28,45
28,33
28,60
29,42
29,23
29,47
29,65
29,27
29,49
29,26
29,25
29,18
29,29
29,50
