# Day, ShiftID, Requirement,
1,E,24,4
1,D,30,5
1,L,12,2
2,E,18,3
2,D,18,3
2,L,18,3
3,E,18,3
3,D,24,4
3,L,18,3
4,E,18,3
4,D,24,4
4,L,12,2
5,E,30,5
5,D,30,5
5,L,18,3
6,E,30,5
6,D,24,4
6,L,12,2
7,E,18,3
7,D,18,3
7,L,12,2
8,E,24,4
8,D,24,4
8,L,12,2
9,E,18,3
9,D,24,4
9,L,12,2
10,E,18,3
10,D,24,4
10,L,12,2
11,E,24,4
11,D,30,5
11,L,12,2
12,E,30,5
12,D,18,3
12,L,18,3
13,E,30,5
13,D,30,5
13,L,18,3
14,E,18,3
14,D,18,3
14,L,12,2
15,E,18,3
15,D,18,3
15,L,18,3
16,E,30,5
16,D,18,3
16,L,12,2
17,E,18,3
17,D,24,4
17,L,18,3
18,E,24,4
18,D,24,4
18,L,18,3
19,E,24,4
19,D,24,4
19,L,12,2
20,E,30,5
20,D,24,4
20,L,18,3
21,E,24,4
21,D,30,5
21,L,12,2
22,E,30,5
22,D,18,3
22,L,18,3
23,E,24,4
23,D,30,5
23,L,18,3
24,E,30,5
24,D,30,5
24,L,12,2
25,E,30,5
25,D,24,4
25,L,18,3
26,E,30,5
26,D,18,3
26,L,12,2
27,E,24,4
27,D,24,4
27,L,18,3
28,E,18,3
28,D,30,5
28,L,18,3
