# Day, ShiftID, Requirement,
1,E,40,4
1,D,30,3
1,L,30,3
2,E,40,4
2,D,30,3
2,L,30,3
3,E,50,5
3,D,30,3
3,L,30,3
4,E,40,4
4,D,50,5
4,L,20,2
5,E,50,5
5,D,40,4
5,L,30,3
6,E,30,3
6,D,50,5
6,L,30,3
7,E,40,4
7,D,40,4
7,L,30,3
8,E,30,3
8,D,40,4
8,L,30,3
9,E,30,3
9,D,50,5
9,L,20,2
10,E,40,4
10,D,40,4
10,L,20,2
11,E,30,3
11,D,30,3
11,L,20,2
12,E,30,3
12,D,50,5
12,L,30,3
13,E,40,4
13,D,50,5
13,L,20,2
14,E,30,3
14,D,40,4
14,L,30,3
15,E,40,4
15,D,40,4
15,L,20,2
16,E,40,4
16,D,40,4
16,L,20,2
17,E,30,3
17,D,30,3
17,L,20,2
18,E,50,5
18,D,40,4
18,L,20,2
19,E,50,5
19,D,40,4
19,L,20,2
20,E,30,3
20,D,30,3
20,L,30,3
21,E,50,5
21,D,40,4
21,L,20,2
22,E,30,3
22,D,30,3
22,L,30,3
23,E,50,5
23,D,40,4
23,L,30,3
24,E,30,3
24,D,50,5
24,L,20,2
25,E,30,3
25,D,50,5
25,L,30,3
26,E,50,5
26,D,40,4
26,L,20,2
27,E,40,4
27,D,30,3
27,L,30,3
28,E,50,5
28,D,30,3
28,L,30,3
