nurseid,shift index
1,14
1,4
1,15
1,1
1,5
2,21
2,10
2,14
2,4
2,8
3,12
3,10
3,4
3,6
3,9
4,19
4,2
4,7
4,11
4,4
5,8
5,19
5,7
5,2
5,3
6,20
6,5
6,17
6,16
6,10
7,9
7,18
7,19
7,5
7,16
8,11
8,13
8,10
8,6
8,17
9,19
9,12
9,5
9,7
9,6
10,16
10,10
10,6
10,14
10,21
11,1
11,12
11,14
11,3
11,16
12,7
12,2
12,13
12,20
12,17
13,13
13,15
13,16
13,20
13,12
14,16
14,2
14,8
14,1
14,17
15,21
15,9
15,1
15,15
15,10
16,17
16,15
16,18
16,2
16,5
17,3
17,5
17,14
17,8
17,12
18,21
18,13
18,10
18,3
18,11
19,13
19,16
19,6
19,9
19,14
20,6
20,21
20,8
20,5
20,9
