# Day, ShiftID, Requirement,
1,E,24,4
1,D,18,3
1,L,12,2
2,E,18,3
2,D,30,5
2,L,18,3
3,E,24,4
3,D,24,4
3,L,12,2
4,E,30,5
4,D,24,4
4,L,12,2
5,E,18,3
5,D,18,3
5,L,12,2
6,E,18,3
6,D,30,5
6,L,18,3
7,E,30,5
7,D,18,3
7,L,12,2
8,E,18,3
8,D,24,4
8,L,12,2
9,E,24,4
9,D,24,4
9,L,18,3
10,E,30,5
10,D,18,3
10,L,18,3
11,E,30,5
11,D,30,5
11,L,12,2
12,E,24,4
12,D,30,5
12,L,12,2
13,E,24,4
13,D,30,5
13,L,12,2
14,E,24,4
14,D,18,3
14,L,12,2
15,E,24,4
15,D,30,5
15,L,18,3
16,E,24,4
16,D,30,5
16,L,12,2
17,E,24,4
17,D,24,4
17,L,18,3
18,E,30,5
18,D,24,4
18,L,18,3
19,E,18,3
19,D,30,5
19,L,12,2
20,E,30,5
20,D,18,3
20,L,18,3
21,E,18,3
21,D,24,4
21,L,12,2
22,E,24,4
22,D,30,5
22,L,18,3
23,E,18,3
23,D,30,5
23,L,18,3
24,E,30,5
24,D,30,5
24,L,12,2
25,E,18,3
25,D,24,4
25,L,18,3
26,E,30,5
26,D,24,4
26,L,18,3
27,E,18,3
27,D,30,5
27,L,12,2
28,E,18,3
28,D,24,4
28,L,12,2
29,E,30,5
29,D,24,4
29,L,12,2
30,E,24,4
30,D,18,3
30,L,12,2
31,E,18,3
31,D,24,4
31,L,12,2
32,E,24,4
32,D,30,5
32,L,12,2
33,E,24,4
33,D,24,4
33,L,18,3
34,E,30,5
34,D,18,3
34,L,18,3
35,E,24,4
35,D,24,4
35,L,12,2
36,E,30,5
36,D,24,4
36,L,12,2
37,E,30,5
37,D,24,4
37,L,12,2
38,E,18,3
38,D,30,5
38,L,18,3
39,E,18,3
39,D,18,3
39,L,12,2
40,E,24,4
40,D,24,4
40,L,18,3
41,E,30,5
41,D,30,5
41,L,12,2
42,E,18,3
42,D,30,5
42,L,18,3
43,E,30,5
43,D,24,4
43,L,18,3
44,E,18,3
44,D,18,3
44,L,12,2
45,E,24,4
45,D,24,4
45,L,18,3
46,E,24,4
46,D,30,5
46,L,18,3
47,E,18,3
47,D,18,3
47,L,12,2
48,E,18,3
48,D,24,4
48,L,18,3
49,E,24,4
49,D,18,3
49,L,12,2
50,E,30,5
50,D,18,3
50,L,18,3
51,E,18,3
51,D,18,3
51,L,12,2
52,E,30,5
52,D,18,3
52,L,12,2
53,E,24,4
53,D,18,3
53,L,18,3
54,E,24,4
54,D,18,3
54,L,18,3
55,E,30,5
55,D,24,4
55,L,12,2
56,E,24,4
56,D,24,4
56,L,12,2
